R:\DanSummers Files\Cytation\200922_183036_DWS121 bclxl NGF addback timecourse\200922_183036_Plate 1\,,,,,,,
n,filename,Area analyzed, TAA, FAA, IAA, degeneration index, obj
1, A10_03_1_1_Texas Red_001.tif ,3968064,180371,112300,68071,0.6226,0
2, A10_03_1_1_Texas Red_002.tif ,3968064,224668,133296,91372,0.5933,0
3, A10_03_1_1_Texas Red_003.tif ,3968064,214835,128022,86813,0.5959,0
4, A10_03_1_1_Texas Red_004.tif ,3968064,213901,127849,86052,0.5977,0
5, A10_03_1_1_Texas Red_005.tif ,3968064,214175,125819,88356,0.5875,0
6, A10_03_1_1_Texas Red_006.tif ,3968064,236849,141621,95228,0.5979,0
7, A10_03_1_1_Texas Red_007.tif ,3968064,225580,133973,91607,0.5939,0
8, A10_03_1_1_Texas Red_008.tif ,3968064,210315,125303,85012,0.5958,0
9, A10_03_1_1_Texas Red_009.tif ,3968064,191617,114060,77557,0.5952,0
10, A10_03_1_1_Texas Red_010.tif ,3968064,230942,137412,93530,0.595,0
11, A10_03_1_1_Texas Red_011.tif ,3968064,183442,107173,76269,0.5842,0
12, A10_03_1_1_Texas Red_012.tif ,3968064,243217,140053,103164,0.5758,0
13, A10_03_1_1_Texas Red_013.tif ,3968064,215767,129218,86549,0.5989,0
14, A10_03_1_2_Texas Red_001.tif ,3968064,238928,145897,93031,0.6106,0
15, A10_03_1_2_Texas Red_002.tif ,3968064,198664,122063,76601,0.6144,0
16, A10_03_1_2_Texas Red_003.tif ,3968064,212708,130835,81873,0.6151,0
17, A10_03_1_2_Texas Red_004.tif ,3968064,220457,133354,87103,0.6049,0
18, A10_03_1_2_Texas Red_005.tif ,3968064,229105,140166,88939,0.6118,0
19, A10_03_1_2_Texas Red_006.tif ,3968064,268984,161709,107275,0.6012,0
20, A10_03_1_2_Texas Red_007.tif ,3968064,220953,133850,87103,0.6058,0
21, A10_03_1_2_Texas Red_008.tif ,3968064,227005,135319,91686,0.5961,0
22, A10_03_1_2_Texas Red_009.tif ,3968064,247212,148579,98633,0.601,0
23, A10_03_1_2_Texas Red_010.tif ,3968064,244063,147951,96112,0.6062,0
24, A10_03_1_2_Texas Red_011.tif ,3968064,220319,131330,88989,0.5961,0
25, A10_03_1_2_Texas Red_012.tif ,3968064,238082,142642,95440,0.5991,0
26, A10_03_1_2_Texas Red_013.tif ,3968064,266067,156772,109295,0.5892,0
27, A10_03_1_3_Texas Red_001.tif ,3968064,206484,128011,78473,0.62,0
28, A10_03_1_3_Texas Red_002.tif ,3968064,231000,141029,89971,0.6105,0
29, A10_03_1_3_Texas Red_003.tif ,3968064,204713,124215,80498,0.6068,0
30, A10_03_1_3_Texas Red_004.tif ,3968064,233072,141067,92005,0.6053,0
31, A10_03_1_3_Texas Red_005.tif ,3968064,230687,139815,90872,0.6061,0
32, A10_03_1_3_Texas Red_006.tif ,3968064,232295,141347,90948,0.6085,0
33, A10_03_1_3_Texas Red_007.tif ,3968064,235899,139305,96594,0.5905,0
34, A10_03_1_3_Texas Red_008.tif ,3968064,236144,142956,93188,0.6054,0
35, A10_03_1_3_Texas Red_009.tif ,3968064,242527,146799,95728,0.6053,0
36, A10_03_1_3_Texas Red_010.tif ,3968064,230889,136356,94533,0.5906,0
37, A10_03_1_3_Texas Red_011.tif ,3968064,217722,132084,85638,0.6067,0
38, A10_03_1_3_Texas Red_012.tif ,3968064,224286,134155,90131,0.5981,0
39, A10_03_1_3_Texas Red_013.tif ,3968064,217621,131603,86018,0.6047,0
40, A10_03_1_4_Texas Red_001.tif ,3968064,210808,126575,84233,0.6004,0
41, A10_03_1_4_Texas Red_002.tif ,3968064,222979,134877,88102,0.6049,0
42, A10_03_1_4_Texas Red_003.tif ,3968064,229197,139374,89823,0.6081,0
43, A10_03_1_4_Texas Red_004.tif ,3968064,236530,145744,90786,0.6162,0
44, A10_03_1_4_Texas Red_005.tif ,3968064,220080,134611,85469,0.6116,0
45, A10_03_1_4_Texas Red_006.tif ,3968064,261260,154867,106393,0.5928,0
46, A10_03_1_4_Texas Red_007.tif ,3968064,256888,153688,103200,0.5983,0
47, A10_03_1_4_Texas Red_008.tif ,3968064,231411,137659,93752,0.5949,0
48, A10_03_1_4_Texas Red_009.tif ,3968064,253258,151003,102255,0.5962,0
49, A10_03_1_4_Texas Red_010.tif ,3968064,234842,139810,95032,0.5953,0
50, A10_03_1_4_Texas Red_011.tif ,3968064,235789,139390,96399,0.5912,0
51, A10_03_1_4_Texas Red_012.tif ,3968064,232097,138952,93145,0.5987,0
52, A10_03_1_4_Texas Red_013.tif ,3968064,219999,134113,85886,0.6096,0
53, A10_03_1_5_Texas Red_001.tif ,3968064,162387,76918,85469,0.4737,0
54, A10_03_1_5_Texas Red_002.tif ,3968064,181880,87091,94789,0.4788,0
55, A10_03_1_5_Texas Red_003.tif ,3968064,176820,81969,94851,0.4636,0
56, A10_03_1_5_Texas Red_004.tif ,3968064,170610,77500,93110,0.4543,0
57, A10_03_1_5_Texas Red_005.tif ,3968064,170505,74876,95629,0.4391,0
58, A10_03_1_5_Texas Red_006.tif ,3968064,170485,74394,96091,0.4364,0
59, A10_03_1_5_Texas Red_007.tif ,3968064,195081,83670,111411,0.4289,0
60, A10_03_1_5_Texas Red_008.tif ,3968064,168096,70927,97169,0.4219,0
